zip_code,median_rent,complaint_count,top_complaint,complaint_percentile
10025,4340,2374,HEAT/HOT WATER,79
10029,3185,2604,HEAT/HOT WATER,88
10002,4518,1045,HEAT/HOT WATER,70
10027,3285,2824,HEAT/HOT WATER,91
10024,4064,1044,HEAT/HOT WATER,67
10032,2797,3754,HEAT/HOT WATER,98
10023,5027,720,HEAT/HOT WATER,58
10033,2753,2493,HEAT/HOT WATER,86
10031,2928,4636,HEAT/HOT WATER,100
10128,4005,602,HEAT/HOT WATER,49
10009,4326,1346,HEAT/HOT WATER,72
10003,4995,997,HEAT/HOT WATER,65
10016,4870,647,HEAT/HOT WATER,51
10011,5321,706,HEAT/HOT WATER,56
10040,2764,3281,HEAT/HOT WATER,95
10019,4634,846,HEAT/HOT WATER,63
10028,4048,568,HEAT/HOT WATER,47
10034,2424,2897,HEAT/HOT WATER,93
10021,4097,334,HEAT/HOT WATER,30
10026,3366,2474,HEAT/HOT WATER,84
10035,2932,2224,HEAT/HOT WATER,74
10022,4631,283,HEAT/HOT WATER,28
10010,5080,405,HEAT/HOT WATER,42
10030,2658,2281,HEAT/HOT WATER,77
10014,5502,726,HEAT/HOT WATER,60
10065,4359,381,HEAT/HOT WATER,37
10013,6295,386,HEAT/HOT WATER,40
10075,3425,343,HEAT/HOT WATER,35
10036,4455,685,HEAT/HOT WATER,53
10001,5574,335,HEAT/HOT WATER,33
10039,3011,2436,HEAT/HOT WATER,81
10038,4829,134,HEAT/HOT WATER,21
10012,4962,452,HEAT/HOT WATER,44
10017,4205,217,HEAT/HOT WATER,26
10044,4347,101,HEAT/HOT WATER,19
10005,4640,27,HEAT/HOT WATER,9
10007,7352,20,HEAT/HOT WATER,7
10018,4941,155,HEAT/HOT WATER,23
10069,5398,58,HEAT/HOT WATER,14
10280,4843,92,HEAT/HOT WATER,16
10282,7570,2,HEAT/HOT WATER,2
10006,4423,34,HEAT/HOT WATER,12
10004,4831,16,HEAT/HOT WATER,5
